parameter,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
22,a(23),1.5724311072546684,0.29512150649464447,1.1537762127603384,1.353138990039144,1.4824870555466545,1.8487331532929039,2.1594028831149488,0.029474007324507535
23,a(24),1.1765284093418862,0.24209547061512177,0.781813111000917,1.006889379003538,1.1537126919968115,1.3657241500859076,1.6247135958588839,0.025046486500699967
24,a(25),1.2193708912545123,0.26507518489616144,0.7382524460622018,0.9777181084538829,1.2641105798924706,1.482853284317194,1.5675553701497884,0.026515299251895254
25,a(26),1.5941729958355606,0.21928095912665882,1.2025804488574945,1.3933417214469555,1.6235821702029207,1.7818593409490844,1.9424745364124343,0.022132625105093156
26,a(27),1.09452316308879,0.34780353879972825,0.3720974979885798,0.8378449820167648,1.1922375838678971,1.3853887830843516,1.536192673666159,0.03472739041209385
27,a(28),1.4267737479028744,0.17433570627373063,1.078501521126964,1.3142541404634223,1.44818071596419,1.5441694205930505,1.7340284364986727,0.016348405872160868
28,a(29),1.4738727125151116,0.31170779874813864,0.8873445251745864,1.1984898728028732,1.5821848703625916,1.7338706958686059,1.8477590009611966,0.027928902646280136
29,a(30),1.4988000822267757,0.2174529043902025,1.0916061702637356,1.3402209814605957,1.5507193037733713,1.6870503917212771,1.799194130284255,0.022030203854764653
30,a(31),1.9245955685152285,0.24459926413575642,1.4479525382020202,1.7221741995444129,2.0152920651266544,2.0994750478525246,2.313082541518743,0.021640782461752436
31,a(32),1.4683359946030712,0.1604992884960293,1.1446792765213425,1.3579758226645662,1.4583878835638737,1.5740191443769087,1.8380411886830046,0.015572498803121315
32,a(33),1.4118277966927013,0.30435435506365033,0.9018313329003798,1.1591278768110589,1.4700773823768387,1.6510599719260086,1.9704493853406424,0.028830253447043937
33,a(34),1.5791825505671944,0.19467506462445403,1.24477657308438,1.4223469144963976,1.562687070494561,1.7475471287359154,1.9388390700576303,0.0184696977197231
34,a(35),1.808447361730238,0.48112122362782067,1.3261289799726754,1.4389788305938485,1.5627599088878954,2.072595064345869,3.017725376434516,0.035914142695150045
35,a(36),1.9508952845221932,0.31121442596398907,1.602649109070417,1.686130858745658,1.8022902955464608,2.2364971323948337,2.5657112060446976,0.02986867390174174
36,a(37),1.3763581341255924,0.1841794281048977,1.1168511839305928,1.240423145821512,1.3356023603527463,1.4926566665764907,1.8017335834532808,0.015416261699400271
37,a(38),1.6624897379605463,0.2683817532310819,1.3033702375627692,1.4495795912054124,1.593479658878132,1.8183201003507137,2.257719119405815,0.026377154609188748
38,a(39),1.464819537998435,0.1571523862361288,1.2154081184578702,1.3287489850414342,1.4773074482226625,1.5655039955445689,1.8398143548603763,0.016001462002782733
39,a(40),1.731235046839049,0.2871349635519909,1.3573917193400835,1.5480215595492626,1.6188589135778633,1.8559745922235529,2.4475111846317166,0.021751843810649964
40,a(41),1.3178443983043626,0.1678667988499661,1.0080528163943154,1.1950949220429614,1.3177536240543684,1.4418628776438782,1.6412396977484587,0.016035802596614294
41,a(42),1.3293986033878626,0.1650067324022623,1.020405613567872,1.2263759609790033,1.3207899351526977,1.454140170401299,1.6232665043000516,0.015190657899649285
42,a(43),1.3685888039218101,0.2655266157715597,0.9795646185969018,1.15926058564147,1.3326006154975172,1.551898144739982,1.892241069791087,0.02489827582499183
43,a(44),1.6360085668197653,0.19433138358073596,1.2801649443780265,1.495442878747157,1.6247869578792031,1.7859993158404042,2.0110458779999942,0.01680240427318233
44,a(45),2.2532452723841354,0.33273956191166176,1.7614222783248674,1.875789758322596,2.356450825411573,2.5428508524820805,2.7679171163403593,0.031409341450225954
45,a(46),1.6598921065802694,0.18951609168225578,1.375450647224278,1.5603909679615535,1.6220074767491925,1.7013478922857166,2.2091030130895897,0.018211152534405778
46,a(47),2.095604195920695,0.2985359987144107,1.5053807893849334,1.829083101658442,2.1547586530826384,2.3444268387494716,2.623656762100392,0.02788019057101466
47,a(48),1.9795040910731874,0.17899420480029096,1.5895319480606749,1.8690013024497396,1.9887841315133727,2.087759783967771,2.344208973481673,0.015003346689471928
48,a(49),1.9041037971028207,0.6941043210862701,1.126404326768858,1.3032085996908684,1.561004630136953,2.723537649015574,3.0695547100509137,0.06469907694814223
49,a(50),1.7491266877853906,0.2200791209388221,1.371997387752005,1.5540566581880833,1.7600417062219533,1.9122522411669973,2.161520271746285,0.022278452701411273
50,a(51),1.508028272354108,0.28204196716282104,1.1155948903303634,1.2662862698009927,1.4529009756548046,1.7136348813098374,2.076849148573316,0.028705054785449696
51,a(52),1.2433031553324372,0.1310829782979178,1.010013875708361,1.1602208683462896,1.2259836993439037,1.3340195928602312,1.5067743384453076,0.012510487770858988
52,a(53),2.1253403565579427,0.32739789110059664,1.6642955656962768,1.7859253290675008,2.1255085975510624,2.4207860729820903,2.649814084397986,0.03320980007011441
53,a(54),1.8508946566764999,0.15397705994088484,1.4955067388290626,1.7493329176007721,1.8584478609320905,1.9564176580679977,2.1270930216655066,0.014988111251778204
54,a(55),1.715491805550461,0.20494305896809284,1.3720592282107236,1.5695276594260505,1.6963152011231115,1.8413672694451924,2.197451157257016,0.019238891247690078
55,a(56),2.0436318997477305,0.3016027083803392,1.5027893013732447,1.751249352206746,2.074000794693751,2.2833963596645237,2.5267689649909224,0.029937121871494433
56,a(57),1.9870278052857577,0.22504397455046024,1.5730155828572443,1.8462151850491124,1.9949111938351443,2.122669019544896,2.491454041304793,0.02150989395258355
57,a(58),1.6154061819973888,0.20164241565805685,1.258406513391104,1.4781014021750092,1.5847107445219464,1.7399930540361592,2.057090754875086,0.016538519372142315
58,a(59),1.941699344998883,0.19365730159330136,1.5327519629403137,1.801791343972287,1.9556670404168481,2.092690465145977,2.2627883071308577,0.019792284381012836
59,a(60),1.8104854512735487,0.3301915226955951,1.3663787882639546,1.5422074594157194,1.6810455117547227,2.142067128838012,2.349946130526701,0.03230783088231118
60,a(61),2.0510420834204055,0.4468346475522207,1.4898365551662676,1.65314820215431,1.9078996605225613,2.5622548766986637,2.730788276213984,0.04187913609368092
61,a(62),1.3313358134847018,0.13713834011010903,0.9742439978118816,1.2841800955234512,1.356928623408598,1.4184214035904592,1.528431184974254,0.013527645973590945
62,a(63),1.3659962283106308,0.1441016786078375,1.0302902138056491,1.3099254390107373,1.378775604686433,1.4803703996720732,1.5706538344176546,0.011625859046295293
63,a(64),1.6723899804964193,0.21396872349057924,1.345514146954142,1.4839441634785384,1.6493532390671142,1.8467960425019914,2.079077796963322,0.019169355949341185
64,a(65),1.8030513526073524,0.37617015303136264,1.3037398588229032,1.4469678220507938,1.734649737323027,2.251666775552084,2.3979320720071664,0.03546998859740382
65,a(66),1.7507728764676527,0.2814206776479673,1.355403706993711,1.5018022451449404,1.7200245437717587,1.9409042948064332,2.3131061405911675,0.02530323186193208
66,a(67),1.3689922554818164,0.1286444182266607,1.114143967068904,1.3020838349194337,1.3737685652798315,1.4465157837946825,1.6336583605763018,0.011746768716545798
67,a(68),1.6115246588406178,0.13945720094173725,1.3919192267758544,1.5015616049508758,1.6031111044787245,1.7175591616627495,1.8829916239005116,0.013398418844338008
68,a(69),1.7343170458935033,0.18681181051607623,1.4073244934577245,1.6021017733095864,1.7602490518083733,1.8747904280850471,2.0472476481781925,0.018628132784920252
