,player,response,round,rt
522,522,1,0,2.11
523,523,1,0,5.67
524,524,1,0,0.89
525,525,1,0,2.65
526,526,1,0,7.99
527,527,1,0,3.64
528,528,1,0,5.33
529,529,1,0,2.4
530,530,1,0,5.41
531,531,1,0,1.77
532,532,1,0,12.3
533,533,1,0,2.73
534,534,1,0,4.95
535,535,1,0,5.13
536,536,1,0,2.5500000000000003
537,537,1,0,6.61
538,538,1,0,4.86
539,539,1,0,7.05
540,540,1,0,2.72
541,541,1,0,2.42
542,542,0,0,6.24
543,543,1,0,5.18
544,544,1,0,4.32
545,545,1,0,7.37
546,546,1,0,4.36
547,547,1,0,3.88
548,548,1,0,1.12
549,549,1,0,14.17
550,550,0,0,3.0300000000000002
551,551,1,0,5.96
552,552,1,0,4.18
553,553,1,0,7.5
554,554,1,0,12.98
555,555,1,0,6.16
556,556,1,0,2.39
557,557,1,0,4.0
558,558,1,0,0.71
559,559,1,0,10.75
560,560,1,0,6.43
561,561,1,0,4.76
562,562,1,0,19.53
563,563,1,0,1.11
564,564,1,0,10.38
565,565,1,0,5.5200000000000005
566,566,1,0,1.43
567,567,1,0,6.3100000000000005
568,568,1,0,5.39
569,569,1,0,8.42
570,570,1,0,5.18
571,571,1,0,2.33
572,572,1,0,3.88
573,573,1,0,6.3100000000000005
574,574,1,0,8.28
575,575,1,0,3.36
576,576,1,0,7.26
577,577,1,0,10.06
578,578,1,0,3.65
579,579,1,0,3.84
580,580,1,0,4.19
581,581,1,0,2.27
582,582,0,0,6.8500000000000005
583,583,1,0,7.46
584,584,1,0,3.04
585,585,1,0,2.12
586,586,1,0,1.92
587,587,1,0,13.790000000000001
588,588,1,0,6.8500000000000005
589,589,1,0,4.57
590,590,1,0,3.24
591,591,1,0,7.05
592,592,1,0,7.83
593,593,1,0,3.36
594,594,1,0,7.83
595,595,1,0,4.82
596,596,1,0,6.11
597,597,0,0,3.7600000000000002
598,598,1,0,1.49
599,599,1,0,4.5600000000000005
600,600,1,0,9.370000000000001
601,601,1,0,2.7
602,602,1,0,5.89
603,603,1,0,9.22
604,604,1,0,2.31
605,605,1,0,7.0200000000000005
606,606,1,0,1.28
607,607,1,0,1.35
608,608,1,0,11.81
609,609,1,0,2.69
610,610,0,0,3.58
611,611,1,0,4.99
612,612,1,0,4.42
613,613,1,0,5.23
614,614,1,0,6.22
615,615,0,0,9.83
616,616,1,0,1.75
617,617,1,0,4.49
618,618,0,0,0.76
619,619,1,0,5.73
620,620,1,0,12.59
621,621,1,0,1.26
622,622,1,0,3.83
623,623,1,0,6.66
624,624,1,0,3.94
625,625,1,0,3.04
626,626,1,0,3.72
627,627,1,0,5.11
628,628,1,0,3.41
629,629,1,0,2.72
630,630,1,0,2.99
631,631,1,0,5.88
632,632,1,0,2.32
633,633,1,0,3.16
634,634,1,0,1.54
635,635,1,0,3.12
636,636,1,0,2.4
637,637,1,0,3.08
638,638,1,0,2.96
639,639,1,0,4.51
640,640,1,0,9.68
641,641,1,0,7.7700000000000005
642,642,1,0,3.92
643,643,1,0,2.29
644,644,1,0,1.94
645,645,1,0,3.83
646,646,0,0,1.51
647,647,1,0,2.85
648,648,1,0,2.52
649,649,0,0,4.84
650,650,1,0,5.8
651,651,1,0,2.5300000000000002
652,652,1,0,2.54
653,653,1,0,12.530000000000001
654,654,1,0,2.22
655,655,1,0,10.43
656,656,1,0,1.3900000000000001
657,657,1,0,2.06
658,658,0,0,6.47
659,659,1,0,2.2
660,660,1,0,3.02
661,661,1,0,3.71
662,662,1,0,2.5
663,663,1,0,1.74
664,664,1,0,3.31
665,665,1,0,1.8
666,666,1,0,1.9100000000000001
667,667,1,0,3.37
668,668,1,0,4.3100000000000005
669,669,1,0,1.1300000000000001
670,670,1,0,4.96
671,671,1,0,4.18
672,672,1,0,1.55
673,673,1,0,8.68
674,674,1,0,1.4000000000000001
675,675,1,0,3.8200000000000003
676,676,1,0,3.02
677,677,1,0,4.59
678,678,1,0,10.61
679,679,1,0,3.0100000000000002
680,680,1,0,5.92
681,681,1,0,3.52
682,682,0,0,2.22
683,683,1,0,6.87
684,684,1,0,4.69
685,685,1,0,6.3100000000000005
686,686,1,0,1.8800000000000001
687,687,1,0,4.23
688,688,1,0,2.27
689,689,1,0,3.2
690,690,1,0,2.29
691,691,1,0,2.11
692,692,1,0,2.73
693,693,1,0,8.0
694,694,1,0,3.3000000000000003
695,695,1,0,2.81
696,696,1,0,2.24
697,697,1,0,3.25
698,698,0,0,2.77
699,699,1,0,7.76
700,700,1,0,4.26
701,701,1,0,1.84
702,702,1,0,2.62
703,703,0,0,0.64
704,704,1,0,4.25
705,705,1,0,4.61
706,706,0,0,3.73
707,707,1,0,4.42
708,708,1,0,6.19
709,709,1,0,3.5100000000000002
710,710,1,0,5.49
711,711,0,0,1.51
712,712,1,0,7.34
713,713,1,0,3.56
714,714,1,0,9.28
715,715,0,0,1.6300000000000001
716,716,1,0,4.34
717,717,1,0,5.11
718,718,1,0,5.2700000000000005
719,719,1,0,8.57
720,720,1,0,5.29
721,721,1,0,3.08
722,722,1,0,5.29
723,723,1,0,2.15
724,724,1,0,2.99
725,725,1,0,7.54
726,726,1,0,3.85
727,727,1,0,2.79
728,728,1,0,2.07
729,729,1,0,3.47
730,730,1,0,1.17
731,731,0,0,0.87
732,732,1,0,1.17
733,733,1,0,1.7
734,734,1,0,5.89
735,735,1,0,2.14
736,736,0,0,0.84
737,737,0,0,3.91
738,738,1,0,9.76
739,739,1,0,10.15
740,740,0,0,7.17
741,741,1,0,8.27
742,742,1,0,4.66
743,743,1,0,5.14
744,744,1,0,2.86
745,745,1,0,11.35
746,746,1,0,4.76
747,747,1,0,3.14
748,748,1,0,11.5
749,749,1,0,3.56
750,750,1,0,8.96
751,751,1,0,4.89
752,752,1,0,4.69
753,753,1,0,1.3800000000000001
754,754,1,0,3.74
755,755,0,0,2.71
756,756,1,0,6.2700000000000005
757,757,1,0,5.75
758,758,1,0,4.64
759,759,1,0,1.57
760,760,1,0,4.89
761,761,1,0,3.1
762,762,1,0,6.22
763,763,1,0,11.47
764,764,1,0,1.99
765,765,1,0,5.51
766,766,1,0,6.48
767,767,1,0,1.82
768,768,1,0,6.86
769,769,1,0,9.370000000000001
770,770,1,0,11.39
771,771,1,0,5.64
772,772,1,0,2.46
773,773,1,0,5.88
774,774,1,0,2.14
775,775,1,0,1.82
776,776,1,0,5.07
777,777,1,0,2.56
778,778,1,0,4.86
779,779,1,0,5.2700000000000005
780,780,1,0,10.63
781,781,1,0,6.99
782,782,1,0,9.28
783,783,1,0,8.040000000000001
784,784,1,0,5.73
785,785,0,0,1.37
786,786,1,0,1.67
787,787,0,0,0.41000000000000003
788,788,1,0,3.18
789,789,1,0,1.94
790,790,1,0,7.7
791,791,1,0,1.44
792,792,1,0,1.12
793,793,1,0,8.88
794,794,1,0,6.09
795,795,1,0,3.18
796,796,1,0,3.19
797,797,1,0,7.62
798,798,1,0,2.93
799,799,1,0,1.84
