round user time_start time_end time_php time_js
9 usuario11 1462278845.69 1462278845.66 -27.9998779297 22244
9 usuario12 1462278844.88 1462278826.75 -18124.699831 3496
9 usuario8 1462278845.66 1462278827.13 -18530.1001072 3953
9 usuario10 1462278845.3 1462278845.27 -31.200170517 21888
10 usuario3 1462278865.66 1462278849.83 -15824.3000507 3638
10 usuario2 1462278865.03 1462278848.55 -16478.1000614 2427
10 usuario5 1462278865.25 1462278852.62 -12629.1999817 6492
10 usuario4 1462278864.74 1462278849.29 -15451.2000084 3468
10 usuario7 1462278864.8 1462278857.57 -7229.89988327 11143
10 usuario6 1462278864.98 1462278850.57 -14414.2000675 4632
10 usuario13 1462278865.6 1462278858.36 -7241.20020866 12081
10 usuario14 1462278864.76 1462278856.5 -8263.90004158 10316
10 usuario1 1462278865.12 1462278865.09 -36.7999076843 18988
10 usuario9 1462278864.76 1462278849.09 -15670.3000069 2923
10 usuario16 1462278865.03 1462278851.63 -13392.8999901 5333
10 usuario15 1462278865.16 1462278847.46 -17699.5000839 1421
10 usuario11 1462278865.22 1462278863.1 -2113.70015144 16330
10 usuario12 1462278865.39 1462278854.03 -11359.2000008 8097
10 usuario8 1462278865.22 1462278855.95 -9268.39995384 9205
10 usuario10 1462278864.91 1462278856.6 -8310.40000916 10217
11 usuario3 1462278881.99 1462278869.33 -12660.0000858 2583
11 usuario2 1462278882.31 1462278867.89 -14423.0999947 1802
11 usuario5 1462278882.68 1462278869.99 -12686.4001751 3656
11 usuario4 1462278882.37 1462278870.0 -12373.1000423 3179
11 usuario7 1462278882.77 1462278877.57 -5199.8000145 11723
11 usuario6 1462278881.92 1462278879.82 -2106.19997978 13779
11 usuario13 1462278882.78 1462278882.75 -38.8000011444 16084
11 usuario14 1462278882.5 1462278872.19 -10317.8999424 6355
11 usuario1 1462278882.23 1462278870.88 -11351.9999981 4678
11 usuario9 1462278882.78 1462278868.34 -14438.3001328 2517
11 usuario16 1462278882.05 1462278868.64 -13415.4999256 2557
11 usuario15 1462278882.09 1462278867.67 -14422.8999615 1457
11 usuario11 1462278882.49 1462278876.26 -6225.90017319 9992
11 usuario12 1462278882.3 1462278882.26 -39.999961853 15810
11 usuario8 1462278882.79 1462278876.57 -6216.09997749 10293
11 usuario10 1462278882.26 1462278873.99 -8264.19997215 8015
12 usuario3 1462278909.85 1462278884.51 -25342.2000408 1430
12 usuario2 1462278909.87 1462278885.18 -24684.499979 1823
12 usuario5 1462278910.59 1462278888.49 -22096.7998505 4737
12 usuario4 1462278910.1 1462278889.53 -20574.5000839 6101
12 usuario7 1462278909.98 1462278902.74 -7240.10014534 18906
12 usuario6 1462278910.2 1462278898.86 -11337.0001316 15886
12 usuario13 1462278910.86 1462278891.27 -19590.0998116 7407
12 usuario14 1462278910.59 1462278890.01 -20585.5000019 6443
12 usuario1 1462278910.69 1462278888.05 -22632.6999664 4770
12 usuario9 1462278909.88 1462278886.21 -23665.4000282 2385
12 usuario16 1462278909.92 1462278885.21 -24706.799984 2085
12 usuario15 1462278910.42 1462278884.69 -25732.0001125 1543
12 usuario11 1462278910.83 1462278890.22 -20612.0998859 6681
12 usuario12 1462278909.92 1462278891.26 -18658.7998867 7847
12 usuario8 1462278910.18 1462278895.73 -14456.8998814 11867
12 usuario10 1462278910.65 1462278910.62 -30.7998657227 27282
13 usuario3 1462278936.67 1462278913.5 -23169.7998047 2561
13 usuario2 1462278936.37 1462278912.71 -23657.900095 1786
13 usuario5 1462278936.05 1462278917.07 -18976.2001038 5390
13 usuario4 1462278936.33 1462278913.71 -22615.6001091 2557
13 usuario7 1462278936.58 1462278917.99 -18593.4000015 6964
