,user,type,score,type_adj,score_adj,a,v,t,z,y,y_adj,a10,v10,t10,z10,a20,v20,t20,z20,a30,v30,t30,z30,a40,v40,t40,z40,a50,v50,t50,z50,a60,v60,t60,z60,a70,v70,t70,z70,a80,v80,t80,z80,a90,v90,t90,z90
101,s6m22_usuario8,Pro-social,94.0,Pro-social,288.0,3.150492828858521,0.8439466985418591,0.36902242272593716,0.6128758174240924,1,1,3.5146672010163864,0.7477415565490397,0.42257047499034067,0.5247575065121921,3.710960526937131,0.683439923582915,0.43522764626488114,0.5008303571262974,3.578848522725325,0.7033492265540353,0.3178583775205709,0.5596125514160154,3.4094613879380153,0.749073863869524,0.3832879750923878,0.6043740976482725,3.4589065847987945,0.7106707101130163,0.43013712153555683,0.6568764255955986,3.4702374161147924,0.6935433350556715,0.42254946754436773,0.6876700649868966,3.522034241917028,0.7236402859858841,0.42915335731292087,0.6870674381471112,3.504886492019232,0.7779601860515479,0.44481551822575244,0.689691918917492,3.0735575459570144,0.7921495495387854,0.42222393372570677,0.6185685684310118
102,s6m22_usuario9,Pro-social,10.0,Pro-social,100.0,3.2379248180863245,0.042985071304290016,0.39318626210556723,0.5147898510018375,1,1,4.856362867056788,0.1017123249838554,0.48462667405153764,0.4631553448743832,4.238083098183191,0.07690329180652317,0.6169466255786408,0.5154984530973583,3.88125872489849,0.09797862290421619,0.9183699997446111,0.509355850067169,3.958854308617214,0.03163301848431526,0.340497453528388,0.546228930097428,3.7105985084903517,0.07052585847766679,0.34269885134002065,0.5146502134661838,3.4759196662114435,0.05361800835169927,0.36929125128549195,0.533964484568534,3.334391584718618,0.0632345648075151,0.4092771291383962,0.5183788805685825,3.163404346147196,0.052694285899748484,0.4499341644577811,0.5320243192637201,3.195395369974085,0.04653117757667668,0.41450987904454784,0.5293388543611308
103,s6m22_usuario10,Pro-self,-64.0,Pro-self,-76.0,2.3834460288912047,-0.5819227585333409,0.311848610620593,0.4861933183974654,0,0,3.481954081757962,-0.7807635464977323,0.5665394109090585,0.47485259934276874,3.5081268107408685,-0.8202664361975404,0.5283204912628509,0.42884802239124475,3.6003958135647025,-0.8984206974059066,0.31286342735114175,0.42926756369561386,3.1871900578808314,-0.7775626735893107,0.3687446006869633,0.4027068163831313,2.6378007330098567,-0.6252832751571683,0.336824998582474,0.4607220995949153,2.6336538305400397,-0.5782303667842308,0.3103807861999746,0.4387192371700952,2.3594805336661238,-0.5205158579444367,0.30004263140393184,0.5163437766949778,2.342409856669765,-0.506146971228209,0.30348850389804394,0.499594217193801,2.3600910115691014,-0.5286615326723134,0.3095041767557951,0.48456882758852543
104,s6m22_usuario11,Pro-social,36.0,Pro-social,160.0,2.3503390307312917,0.05258899432018732,0.3670974013911156,0.6525110205988701,1,1,2.9659292997733253,-0.25732210291744734,0.687006616085941,0.49463186666462955,3.088959761056127,-0.018503972158839654,0.4082252985583076,0.5662451321252899,2.7939210455607077,-0.06073636769786888,0.5710829805177191,0.6434151035612279,2.7281147174286686,-0.003909858407068265,0.47858273118478306,0.6515508332205454,2.68933860402486,0.06631733121950038,0.42535482590050644,0.6824083655467257,2.5990928671759814,-0.02276604851031474,0.4302159235585873,0.6795339258613549,2.4643554199759357,0.008211458805940817,0.4204930975117594,0.6669320290676154,2.4929977380902235,0.013190912318286035,0.3623869883601683,0.6800047395115614,2.380631455569618,0.024608358843464115,0.3661587421346485,0.6655064328711027
105,s6m22_usuario12,Pro-self,-68.0,Pro-self,-48.0,2.645045395434046,-0.23706478803048356,0.3277097254774319,0.2791042036745846,0,0,3.2863931199914656,-0.23360822980319018,0.4007912764617071,0.5142831063311908,3.5184505574120157,-0.2611871239516552,0.3020415904642664,0.44663445932845397,3.378172176609108,-0.2281410821148299,0.23587356871800513,0.4445377773176592,3.161533200266939,-0.22724576479911443,0.277690788870524,0.3808154833256706,2.9638065073039335,-0.21003599150478838,0.31712301985814206,0.3246082434253397,2.7926577095271017,-0.1611980131881107,0.36204855492584964,0.28513007015663877,2.788646043942651,-0.18016969918698988,0.37411211224647595,0.2797377750984841,2.664322605566054,-0.16447095596798084,0.4007212894585359,0.26790543495415514,2.5811676369295697,-0.1711288766354467,0.40629558130316923,0.27002265933153957
106,s6m22_usuario13,Pro-self,-80.0,Pro-self,-72.0,2.77334568753073,-0.6255564178276609,0.46997365601178276,0.39020899261365577,0,0,2.873050663150115,-0.3820641177518273,0.9975759562600823,0.5489019737075164,2.718530291488687,-0.3492946726632446,0.7618255569780734,0.5178518682512236,2.6010177196273148,-0.46204593671052435,0.8762074557200755,0.4891220964677412,2.684009473576205,-0.5848018654836913,0.7797301415691206,0.48877560654034935,2.7170502133124455,-0.5039680018413499,0.6061581976504874,0.4537953018531187,2.7203616233396968,-0.5336811930231591,0.502431696696162,0.42608694089396193,2.8186996095661843,-0.506277979844992,0.5228330561317734,0.385553353386969,2.778259510251867,-0.5088381768552801,0.5359265020615891,0.35468284840173175,2.7156497025430055,-0.5361729887460334,0.5430210001548728,0.3630053521625195
107,s6m22_usuario14,Pro-self,-84.0,Pro-self,-96.0,2.485844191229917,-0.7632453870619933,0.4067960063499001,0.374884550768724,0,0,3.940915705452328,-0.8029907142088385,0.5435398500295836,0.533735798255626,3.5112147382971988,-1.007040789284633,0.7260980318224157,0.4649368815380288,2.730856998500923,-0.8931789860965546,0.9795346110048645,0.3877338858859278,2.5171481918965255,-0.7220025070477686,0.9725514305859517,0.36212927370204917,2.820342182738394,-0.9647141092536731,0.6368139666826745,0.4603558454038489,2.614572565549008,-0.8921727370481871,0.6598887495907989,0.4212028559669662,2.692788120085979,-0.8809936156955525,0.42604058092662905,0.4678640363292923,2.63673897244883,-0.8316683405102081,0.3562746868563437,0.44425937414967526,2.539082302735554,-0.7668764447466242,0.388544656746358,0.4024159319612103
108,s6m22_usuario15,Pro-self,-76.0,Pro-self,-56.0,4.437319986435286,-0.27750839795666987,0.33155785068559623,0.34589623712128525,0,0,4.953487718692054,-0.0788775280658734,0.5208081513486408,0.5184682394728483,5.180834415519964,-0.19039261783383962,0.6545186930894414,0.5366391204864145,5.301139793477355,-0.31813028365157175,0.7646870910919471,0.5539685292156985,4.983863134536044,-0.32743109270798065,0.7699460126812319,0.5137192586049931,4.842292917887361,-0.32368402549997505,0.5942595045544944,0.4565391270197703,4.624281359311395,-0.2612333135557127,0.39663509194335356,0.46030506937574617,4.6140266840159,-0.2771694818890227,0.41189857443088523,0.4396996338032799,4.5445138810115635,-0.29323997030305415,0.41747972899631436,0.4161477087670457,4.443396210927194,-0.27247956077407504,0.39997602846473995,0.36683476462001335
109,s6m22_usuario16,Pro-self,-98.0,Pro-self,-100.0,3.0619214591258177,-1.1917234136000021,0.31933010356970254,0.36278261474325385,0,0,3.3427654277116803,-1.2630781023278743,0.7144081540124954,0.5451864196146428,3.2775053429013012,-1.222926394604845,0.4984356406775537,0.5059302828440155,3.249087211012286,-0.8658894099176878,0.38877688433186264,0.44797141549874386,3.2053829526103663,-0.8580409656853745,0.365899052848359,0.40765104797499635,3.2268342498553517,-0.9322194822017889,0.2725583702865068,0.4048264952755705,3.1199089373790905,-0.9717000512175737,0.30491717851084643,0.38208537468133186,3.095964136891952,-1.0539761831292112,0.3241872649682213,0.37711446570817103,3.058218366007347,-1.1040344138336737,0.34277667497330744,0.3678265533151644,3.027092032243137,-1.1282189460182943,0.3600023944201078,0.34904378498866795
110,s7m22_usuario1,Pro-social,8.0,Pro-social,120.0,1.8826281136020513,0.016652625022960978,0.467392863906487,0.5321296777756381,1,1,2.770627473700509,-0.1692250536161167,0.7651894161774315,0.522632626486606,2.49415370624557,-0.060160314710014,0.7122672862077365,0.5879603226497975,2.2320268381596295,-0.1684206054532515,0.7888385697733148,0.5888776702720478,2.3313428957429827,0.12929660502162568,0.43850602382041887,0.4535700162692272,2.1895481622404582,0.07781598500397865,0.420965206665786,0.5191348860604065,2.129268495979814,-0.024838043092257345,0.42761754916555067,0.5295691725848088,2.064396887203722,0.000418792584529149,0.43236851503616086,0.5432398702203621,1.9636578439640024,-0.04034346706555177,0.45128739875937907,0.5330280408085294,1.937464257370223,-0.05826471082840598,0.4591835031003823,0.5198037464805579
111,s7m22_usuario2,Pro-self,-24.0,Pro-social,56.0,2.843665534951127,-0.12057777281307895,0.2081814828658037,0.4705980451831659,0,1,4.9991853416456555,0.049450236505312814,0.4724515350895107,0.5279500254694723,4.498296760307893,0.0808424806195325,0.3338099141784742,0.6032703923428968,4.216606808646625,0.06938542406764832,0.3726871795133488,0.7389465828213716,4.164959731219739,0.1292218807520197,0.325319550878717,0.7510021585525785,3.4284115780640794,0.18128609322276087,0.17213481481611567,0.5981699191400688,3.096743131905957,0.15479211059509457,0.13592421582182423,0.49879148589504574,2.978861258445656,0.06934759502263306,0.16208581097132935,0.48698380843522915,2.9545237205667045,-0.013734135011874185,0.17353841149537289,0.4883316379146144,2.865995831230823,-0.05953172603460774,0.19305240378431487,0.4699438908302155
112,s7m22_usuario3,Pro-self,-22.0,Pro-social,48.0,1.9466480085692872,-0.10079631966596321,0.4840139286065397,0.43875528398032687,0,1,2.6747275637767975,0.3204387933740033,0.7656810511018756,0.5071717245564427,2.3482121438769217,0.5027586096462465,0.8584710115589081,0.4987933097943924,2.484211661688777,0.3848177368672451,0.4417016093334602,0.3530790174128263,2.36966730956731,0.3419768357688658,0.4865258819331694,0.32739936182544227,2.228214575865652,0.2604239747744002,0.5095382150541513,0.33676675741647005,2.099432646126917,0.11105182226215775,0.43350108477275684,0.44655256259877985,2.0334471703377837,0.0893970412595114,0.4530118642754122,0.42859878488065967,2.0394929310993986,0.034585365248029874,0.46112163585624405,0.4351838327195382,1.9916238217142102,-0.04079153078337697,0.47232656541602014,0.44289865115548016
113,s7m22_usuario4,Pro-social,60.0,Pro-social,236.0,1.8513531172320687,0.4225922040177949,0.2873610883335258,0.6260372693521393,1,1,2.601769872319293,0.7516591296323654,0.39440157922587604,0.3819152230232427,2.2665651876048596,0.2744642176258245,0.31437125583373243,0.3329371581842648,1.867517983603822,0.2899443765735859,0.25250352217871286,0.5028407731840527,1.6688495508477452,0.3688797203704978,0.2957637972583017,0.5814850664785441,1.5608395490008813,0.4174884344053338,0.32010734725579376,0.6408623568168695,1.4928028210965738,0.40132740097620684,0.3382047365421017,0.6948220903383057,1.5656059216597364,0.3476608426771845,0.3343862675367594,0.6900128563528275,1.6183807990265284,0.2621350098634688,0.3236425773231827,0.6701462399885671,1.7395344812454554,0.3235273465763453,0.307826743973764,0.6514463110775597
114,s7m22_usuario5,Pro-self,-58.0,Pro-self,-32.0,2.1860592791437745,-0.3428392471169941,0.23853231600980304,0.37262881809781045,0,0,3.0197678607971112,-0.789256493123139,0.4181055095312127,0.42610329858672547,2.6635650297195212,-0.875248360757289,0.38812203794185013,0.43590954438860424,2.1270594775749654,-0.8067687083619526,0.42620954791221605,0.4840898966317193,2.18531301975818,-0.6706450306152163,0.26896613980516865,0.44417716019791914,2.075844312945096,-0.41930344858968266,0.2492091746465403,0.38428369102097537,2.017512727455923,-0.29810333225931607,0.272280857269081,0.324487454614076,2.015236473043689,-0.3315615987530495,0.26724757105338265,0.3413704953156435,2.0661738333345716,-0.29772124580078924,0.2604826682770756,0.3443610153398617,2.06634946078285,-0.34933859754532076,0.2506230120415071,0.3689012074051794
