round player action_player opponent action_opponent payoff time_php time_js who_played
8 usuario16 C ['usuario17'] C 3 2339.49995041 2313 user
8 usuario17 C ['usuario16'] C 3 4856.19997978 4826 user
8 usuario18 D ['usuario12'] D 1 4449.39994812 4424 user
9 usuario1 C ['usuario15'] C 3 1992.50006676 1965 user
9 usuario2 D ['usuario3'] D 1 4617.70009995 4592 user
9 usuario3 D ['usuario2'] D 1 8174.49998856 8144 user
9 usuario4 C ['usuario12'] D 0 1559.89980698 1533 user
9 usuario5 D ['usuario6'] D 1 24982.1999073 24951 user
9 usuario6 D ['usuario5'] D 1 8153.80001068 8120 user
9 usuario7 C ['usuario17'] C 3 10495.4001904 10466 user
9 usuario8 C ['usuario13'] C 3 2501.99985504 2484 user
9 usuario9 C ['usuario18'] D 0 7213.79995346 7185 user
9 usuario10 D ['usuario11'] C 4 7327.10003853 7293 user
9 usuario11 C ['usuario10'] D 0 10707.3998451 10646 user
9 usuario12 D ['usuario4'] C 4 12785.200119 12758 user
9 usuario13 C ['usuario8'] C 3 1241.89996719 1214 user
9 usuario14 D ['usuario16'] C 4 5210.8001709 5187 user
9 usuario15 C ['usuario1'] C 3 18992.3000336 18970 user
9 usuario16 C ['usuario14'] D 0 1358.5999012 1333 user
9 usuario17 C ['usuario7'] C 3 2569.10014153 2539 user
9 usuario18 D ['usuario9'] C 4 1985.50009727 1954 user
10 usuario1 C ['usuario15'] C 3 1748.39997292 1722 user
10 usuario2 C ['usuario11'] D 0 4653.80001068 4628 user
10 usuario3 C ['usuario9'] D 0 5433.09998512 5402 user
10 usuario4 D ['usuario13'] C 4 1257.09986687 1230 user
10 usuario5 C ['usuario17'] C 3 5990.00000954 5959 user
10 usuario6 D ['usuario8'] C 4 5750.59986115 5687 user
10 usuario7 C ['usuario10'] D 0 2463.59992027 2433 user
10 usuario8 C ['usuario6'] D 0 2762.4001503 2744 user
10 usuario9 D ['usuario3'] C 4 3076.90000534 3058 user
10 usuario10 D ['usuario7'] C 4 4204.49995995 4176 user
10 usuario11 D ['usuario2'] C 4 2005.90014458 1988 user
10 usuario12 D ['usuario18'] D 1 2565.00005722 2538 user
10 usuario13 C ['usuario4'] D 0 972.900152206 944 user
10 usuario14 D ['usuario16'] D 1 3437.59989738 3409 user
10 usuario15 C ['usuario1'] C 3 8720.49999237 8695 user
10 usuario16 D ['usuario14'] D 1 2370.99981308 2344 user
10 usuario17 C ['usuario5'] C 3 1914.70003128 1890 user
10 usuario18 D ['usuario12'] D 1 3986.20009422 3961 user
11 usuario1 C ['usuario3'] D 0 11711.2998962 11682 user
11 usuario2 C ['usuario11'] D 0 4174.90005493 4148 user
11 usuario3 D ['usuario1'] C 4 2383.80002975 2365 user
11 usuario4 D ['usuario14'] D 1 1315.70005417 1289 user
11 usuario5 C ['usuario18'] D 0 3403.19991112 3374 user
11 usuario6 D ['usuario7'] C 4 6333.60004425 6302 user
11 usuario7 C ['usuario6'] D 0 2045.70007324 2021 user
11 usuario8 D ['usuario10'] D 1 1826.40004158 1807 user
11 usuario9 D ['usuario16'] D 1 4935.40000916 4906 user
11 usuario10 D ['usuario8'] D 1 5880.5000782 5839 user
11 usuario11 D ['usuario2'] C 4 2347.59998322 2320 user
11 usuario12 D ['usuario15'] C 4 13753.2000542 13690 user
11 usuario13 C ['usuario17'] C 3 1203.29999924 1178 user
11 usuario14 D ['usuario4'] D 1 2131.50000572 2106 user
11 usuario15 C ['usuario12'] D 0 6569.19980049 6537 user
11 usuario16 D ['usuario9'] D 1 3520.60008049 3494 user
11 usuario17 C ['usuario13'] C 3 3563.30013275 3537 user
11 usuario18 D ['usuario5'] C 4 6339.49995041 6311 user
12 usuario1 D ['usuario4'] C 4 9665.40002823 9610 user
12 usuario2 C ['usuario15'] C 3 1445.00017166 1416 user
12 usuario3 D ['usuario7'] C 4 3761.80005074 3735 user
12 usuario4 C ['usuario1'] D 0 1984.30013657 1958 user
12 usuario5 D ['usuario11'] D 1 9153.19991112 9100 user
12 usuario6 D ['usuario9'] D 1 6000.49996376 5972 user
12 usuario7 C ['usuario3'] D 0 2340.20018578 2312 user
12 usuario8 D ['usuario14'] D 1 2396.29983902 2365 user
12 usuario9 D ['usuario6'] D 1 5673.09999466 5643 user
12 usuario10 C ['usuario17'] C 3 6499.09996986 6469 user
12 usuario11 D ['usuario5'] D 1 2154.00004387 2129 user
12 usuario12 D ['usuario13'] C 4 15551.4001846 15517 user
12 usuario13 C ['usuario12'] D 0 941.200017929 915 user
12 usuario14 D ['usuario8'] D 1 1667.70005226 1639 user
12 usuario15 C ['usuario2'] C 3 27789.4999981 27757 user
12 usuario16 D ['usuario18'] C 4 1920.69983482 1891 user
12 usuario17 C ['usuario10'] C 3 1933.90011787 1903 user
12 usuario18 C ['usuario16'] D 0 4032.50002861 4006 user
13 usuario1 D ['usuario9'] C 4 2463.79995346 2436 user
13 usuario2 D ['usuario15'] C 4 8380.00011444 8349 user
13 usuario3 C ['usuario6'] D 0 2730.90004921 2706 user
13 usuario4 C ['usuario13'] C 3 1085.3998661 1059 user
13 usuario5 C ['usuario18'] D 0 11483.0000401 11455 user
13 usuario6 D ['usuario3'] C 4 3018.49985123 2993 user
13 usuario7 C ['usuario17'] C 3 1874.69983101 1848 user
13 usuario8 C ['usuario10'] D 0 2111.59992218 2087 user
