userid,rt,response,round
 1,2.896200,1.000,21
 9,3.230600,1.000,22
18,1.681900,0.000,22
 7,0.420200,1.000,22
10,0.523600,1.000,22
13,3.137500,1.000,22
 5,1.803700,1.000,22
15,3.027100,1.000,22
16,1.463300,1.000,22
12,0.646400,1.000,22
 6,0.864600,1.000,22
17,2.180900,0.000,22
 2,2.621800,0.000,22
14,1.112800,1.000,22
 4,0.829600,1.000,22
11,2.036800,1.000,22
 3,0.412400,1.000,22
 8,1.130300,1.000,22
 1,1.541000,1.000,22
 9,4.073600,0.000,23
18,2.101000,0.000,23
 7,0.453600,1.000,23
10,0.627000,1.000,23
13,0.879200,1.000,23
 5,0.726900,1.000,23
15,2.672100,1.000,23
16,0.925200,1.000,23
12,0.590000,1.000,23
 6,0.967500,1.000,23
17,2.120300,1.000,23
 2,1.347500,0.000,23
14,0.820100,1.000,23
 4,0.659000,1.000,23
11,3.521000,1.000,23
 3,0.458600,1.000,23
 8,2.291700,0.000,23
 1,1.602600,1.000,23
 9,1.909300,0.000,24
18,1.991200,0.000,24
 7,0.520200,1.000,24
10,0.544800,1.000,24
13,0.751400,1.000,24
 5,0.653900,1.000,24
15,0.795300,1.000,24
16,0.996400,1.000,24
12,0.610600,1.000,24
 6,0.978400,1.000,24
17,1.121000,0.000,24
 2,7.765200,0.000,24
14,0.963700,1.000,24
 4,0.748400,1.000,24
11,2.213300,1.000,24
 3,0.408300,1.000,24
 8,1.827800,1.000,24
 1,2.254400,1.000,24
 9,1.711700,0.000,25
18,2.442600,0.000,25
 7,0.729500,1.000,25
10,0.554600,1.000,25
13,0.645100,1.000,25
 5,0.702200,1.000,25
15,1.392800,1.000,25
16,0.790200,1.000,25
12,0.876400,1.000,25
 6,0.801900,1.000,25
17,2.042000,0.000,25
 2,2.479500,1.000,25
14,1.135400,1.000,25
 4,0.609500,1.000,25
11,1.514500,1.000,25
 3,0.483300,1.000,25
 8,1.334900,1.000,25
 1,1.651100,0.000,25
 9,2.306000,0.000,26
18,3.029400,0.000,26
 7,1.023700,1.000,26
10,3.799400,1.000,26
13,0.797200,1.000,26
 5,0.560000,1.000,26
15,1.084100,1.000,26
16,0.869600,1.000,26
12,1.650100,1.000,26
 6,0.586300,1.000,26
17,2.337800,0.000,26
 2,6.154600,1.000,26
14,1.122600,1.000,26
 4,0.586200,1.000,26
11,1.253200,1.000,26
 3,0.719000,1.000,26
 8,2.940800,1.000,26
 1,3.871400,1.000,26
 9,2.035600,0.000,27
18,1.595000,1.000,27
 7,1.156200,1.000,27
10,0.562800,1.000,27
13,0.782000,1.000,27
 5,0.759200,1.000,27
15,0.944700,1.000,27
16,0.957200,1.000,27
12,1.288900,1.000,27
 6,0.868100,1.000,27
17,1.627800,0.000,27
 2,1.278000,0.000,27
14,1.404500,1.000,27
 4,0.628600,1.000,27
11,0.947600,1.000,27
 3,0.512800,1.000,27
 8,1.949100,1.000,27
 1,2.016400,0.000,27
 9,3.547800,0.000,28
18,1.695900,1.000,28
 7,0.585900,1.000,28
10,0.777600,1.000,28
13,1.048900,1.000,28
 5,0.750500,1.000,28
15,1.044500,1.000,28
16,1.194700,1.000,28
12,1.542900,1.000,28
 6,0.710400,1.000,28
17,2.065700,0.000,28
 2,1.071600,0.000,28
14,1.008900,1.000,28
 4,0.546600,1.000,28
11,1.273200,1.000,28
 3,0.491300,1.000,28
 8,5.401600,0.000,28
 1,3.297000,1.000,28
 9,2.142100,1.000,29
18,1.620500,1.000,29
 7,0.623400,1.000,29
10,0.697100,1.000,29
13,0.843600,1.000,29
 5,0.663500,1.000,29
15,0.975200,1.000,29
16,0.782300,1.000,29
12,0.594600,1.000,29
 6,0.790400,1.000,29
17,1.289500,1.000,29
 2,3.867900,0.000,29
14,1.012200,1.000,29
 4,0.534200,1.000,29
11,1.125300,1.000,29
 3,0.412900,1.000,29
 8,4.481200,1.000,29
 1,5.221600,1.000,29
 9,2.410500,1.000,30
18,1.581700,1.000,30
 7,0.506000,1.000,30
10,2.552800,1.000,30
13,0.585000,1.000,30
 5,0.846800,1.000,30
15,1.098200,1.000,30
16,0.698800,1.000,30
12,0.584300,1.000,30
 6,0.756500,1.000,30
17,3.918300,0.000,30
 2,4.519100,1.000,30
14,0.759500,1.000,30
 4,0.558100,1.000,30
11,0.518600,1.000,30
 3,0.369200,1.000,30
 8,3.542700,1.000,30
 1,4.469400,1.000,30
 9,4.960200,0.000,31
18,1.133300,1.000,31
 7,0.492100,1.000,31
10,0.673100,1.000,31
13,0.870400,1.000,31
 5,0.477600,1.000,31
15,1.132900,1.000,31
16,0.497600,1.000,31
12,16.384700,1.000,31
 6,0.610900,1.000,31
17,6.938800,0.000,31
 2,2.214400,1.000,31
14,0.887800,1.000,31
 4,0.564400,1.000,31
11,1.088000,1.000,31
 3,1.354100,1.000,31
 8,1.383300,1.000,31
 1,2.443200,0.000,31
 9,3.013500,1.000,32
18,1.882300,1.000,32
 7,0.492800,1.000,32
10,1.719600,1.000,32
13,1.274200,1.000,32
 5,1.994500,1.000,32
15,0.646600,1.000,32
16,0.890400,1.000,32
12,2.624300,1.000,32
 6,0.978100,1.000,32
17,1.650400,0.000,32
 2,3.570900,0.000,32
14,1.014700,1.000,32
 4,0.745700,1.000,32
11,1.657300,1.000,32
 3,0.510200,1.000,32
 8,1.392000,0.000,32
 1,7.356100,0.000,32
 9,2.069700,1.000,33
18,0.897900,1.000,33
 7,0.602600,1.000,33
10,0.509900,1.000,33
13,0.609700,1.000,33
 5,2.587100,1.000,33
15,1.075900,1.000,33
16,1.107700,1.000,33
12,0.676100,1.000,33
 6,0.840100,1.000,33
17,1.967300,0.000,33
 2,1.078200,0.000,33
14,1.403000,1.000,33
 4,0.664700,1.000,33
11,0.955000,1.000,33
 3,0.453700,1.000,33
 8,1.323800,0.000,33
 1,1.807800,0.000,33
 9,3.449900,0.000,34
18,0.822700,1.000,34
 7,0.532200,1.000,34
10,0.565200,1.000,34
13,1.855900,1.000,34
 5,1.672100,1.000,34
15,1.011500,1.000,34
16,1.190500,1.000,34
12,0.810200,1.000,34
 6,0.701800,1.000,34
17,0.856200,1.000,34
 2,1.898100,1.000,34
14,2.220400,1.000,34
 4,1.312400,0.000,34
11,0.998400,1.000,34
 3,0.619100,1.000,34
 8,2.572700,0.000,34
 1,1.617900,0.000,34
 9,3.057000,1.000,35
18,1.845200,1.000,35
 7,0.570200,1.000,35
10,1.422900,1.000,35
13,1.782100,1.000,35
 5,0.781500,1.000,35
15,0.693400,1.000,35
16,1.042300,1.000,35
12,0.660100,1.000,35
 6,0.705500,1.000,35
17,1.198300,1.000,35
 2,1.629000,1.000,35
14,6.228400,1.000,35
 4,1.911200,0.000,35
11,1.092200,1.000,35
 3,0.411900,1.000,35
 8,1.559800,1.000,35
 1,1.298100,1.000,35
 9,1.586000,1.000,36
18,1.602700,1.000,36
 7,0.489500,1.000,36
10,0.495400,1.000,36
13,1.946100,1.000,36
 5,0.752100,1.000,36
15,3.772400,1.000,36
16,0.805800,1.000,36
12,3.140700,1.000,36
 6,0.597500,1.000,36
17,1.047500,1.000,36
 2,2.152300,1.000,36
14,6.144600,0.000,36
 4,0.623400,0.000,36
11,1.021200,1.000,36
 3,0.414300,1.000,36
 8,1.032500,0.000,36
 1,1.080600,1.000,36
 9,2.539400,1.000,37
18,1.387900,1.000,37
 7,0.509400,1.000,37
10,0.578900,1.000,37
13,1.728000,1.000,37
 5,0.736300,1.000,37
15,3.397200,1.000,37
16,0.718600,1.000,37
12,0.680500,1.000,37
 6,0.515200,1.000,37
17,0.975900,1.000,37
 2,3.088300,1.000,37
14,4.715800,0.000,37
 4,1.392500,1.000,37
11,1.206400,1.000,37
 3,0.678200,1.000,37
 8,1.567400,1.000,37
 1,1.563500,1.000,37
 9,1.752200,1.000,38
18,1.001300,1.000,38
 7,0.738000,1.000,38
10,0.655900,1.000,38
13,1.039800,1.000,38
 5,0.551000,1.000,38
15,0.699000,1.000,38
16,0.896600,1.000,38
12,3.775300,1.000,38
 6,0.485700,1.000,38
17,2.291000,1.000,38
 2,3.203400,1.000,38
14,3.963100,0.000,38
 4,1.869600,0.000,38
11,0.886400,1.000,38
 3,0.373200,1.000,38
 8,1.609900,1.000,38
 1,3.258500,0.000,38
 9,2.393300,1.000,39
18,0.890900,1.000,39
 7,0.696600,1.000,39
10,0.627500,1.000,39
13,0.742100,1.000,39
 5,0.546500,1.000,39
15,0.871700,1.000,39
16,0.898200,1.000,39
12,2.009400,1.000,39
 6,0.545200,1.000,39
17,0.904000,1.000,39
 2,3.159300,1.000,39
14,3.808700,0.000,39
 4,2.129500,0.000,39
11,0.991800,1.000,39
 3,0.410600,1.000,39
 8,1.562300,0.000,39
 1,5.442200,0.000,39
 9,1.615100,1.000,40
18,0.740300,1.000,40
 7,0.543500,1.000,40
10,0.704500,1.000,40
13,0.694000,1.000,40
 5,0.755100,1.000,40
15,0.738900,1.000,40
16,0.527200,1.000,40
12,1.125900,0.000,40
 6,0.466900,1.000,40
17,1.768200,0.000,40
 2,8.028900,1.000,40
14,3.273200,1.000,40
 4,1.457800,1.000,40
11,1.517900,1.000,40
 3,0.426000,1.000,40
 8,2.143400,1.000,40
 1,1.402300,0.000,40
 9,2.032100,1.000,41
18,0.729000,1.000,41
 7,0.476200,1.000,41
10,0.552600,1.000,41
13,0.777100,1.000,41
 5,0.983400,1.000,41
15,0.903300,1.000,41
16,0.794200,1.000,41
12,6.407100,0.000,41
 6,1.345900,1.000,41
17,1.508700,1.000,41
 2,5.046400,1.000,41
