userid,rt,response,round,context,strategy
 61, 1.60, 0,43, 3,PD
 61, 0.95, 0,44, 2,PD
 61, 1.44, 0,45, 0,PD
 61, 1.18, 0,46, 1,PD
 61, 2.27, 0,47, 4,PD
 61, 2.08, 0,48, 2,PD
 61, 1.71, 0,49, 3,PD
 61, 1.31, 0,50, 1,PD
 61, 1.41, 0,51, 4,PD
 61, 1.49, 0,52, 2,PD
 61, 1.38, 0,53, 1,PD
 61, 2.15, 0,54, 3,PD
 61, 1.36, 0,55, 3,PD
 61, 1.89, 0,56, 4,PD
 61, 2.07, 0,57, 2,PD
 61, 6.68, 0,58, 2,PD
 98, 3.57, 0, 1,nan,MCC
 98, 2.00, 1, 2, 3,MCC
 98, 3.69, 1, 3, 5,MCC
 98, 1.41, 0, 4, 5,MCC
 98, 1.95, 1, 5, 3,MCC
 98, 2.80, 1, 6, 3,MCC
 98, 2.55, 0, 7, 5,MCC
 98, 1.91, 1, 8, 3,MCC
 98, 3.26, 1, 9, 1,MCC
 98, 1.72, 0,10, 2,MCC
 98, 3.05, 1,11, 3,MCC
 98, 4.03, 1,12, 2,MCC
 98, 3.13, 0,13, 0,MCC
 98, 2.81, 0,14, 2,MCC
 98, 2.89, 0,15, 1,MCC
 98, 4.50, 1,16, 3,MCC
 98, 4.42, 1,17, 2,MCC
 98, 2.94, 0,18, 3,MCC
 98, 2.69, 1,19, 2,MCC
 98, 3.99, 0,20, 2,MCC
 98, 3.41, 0,21, 1,MCC
 98, 3.97, 1,22, 3,MCC
 98, 4.60, 0,23, 2,MCC
 98, 5.70, 1,24, 3,MCC
 98, 4.96, 0,25, 0,MCC
 98, 5.34, 0,26, 2,MCC
 98, 5.14, 1,27, 2,MCC
 98, 4.01, 0,28, 3,MCC
 98, 3.45, 0,29, 1,MCC
 98, 4.44, 0,30, 3,MCC
 98, 3.72, 0,31, 1,MCC
 98, 4.29, 0,32, 2,MCC
 98, 3.48, 0,33, 2,MCC
 98, 4.90, 0,34, 2,MCC
 98, 3.19, 0,35, 0,MCC
 98, 3.92, 0,36, 1,MCC
 98, 3.71, 0,37, 1,MCC
 98, 4.09, 1,38, 2,MCC
 98, 5.15, 1,39, 3,MCC
 98, 3.12, 0,40, 2,MCC
 98, 5.61, 1,41, 2,MCC
 98, 7.12, 1,42, 1,MCC
 98, 3.08, 0,43, 3,MCC
 98, 4.32, 0,44, 3,MCC
 98, 3.23, 0,45, 0,MCC
 98, 4.28, 1,46, 2,MCC
 98, 3.77, 0,47, 4,MCC
 98, 4.05, 1,48, 3,MCC
 98, 4.73, 0,49, 2,MCC
 98, 8.21, 0,50, 1,MCC
 98, 2.62, 1,51, 3,MCC
 98, 6.22, 0,52, 1,MCC
 98, 4.13, 0,53, 2,MCC
 98, 3.58, 1,54, 2,MCC
 98, 4.76, 1,55, 3,MCC
 98, 3.66, 1,56, 4,MCC
 98, 5.03, 0,57, 2,MCC
 98, 4.05, 1,58, 3,MCC
 55, 6.38, 1, 1,nan,MCC
 55, 3.41, 1, 2, 3,MCC
 55, 5.26, 1, 3, 5,MCC
 55, 2.84, 1, 4, 5,MCC
 55, 3.18, 1, 5, 4,MCC
 55, 3.43, 1, 6, 4,MCC
 55, 4.59, 0, 7, 6,MCC
 55, 2.90, 0, 8, 3,MCC
 55, 5.25, 0, 9, 3,MCC
 55, 2.22, 0,10, 3,MCC
 55, 3.16, 1,11, 2,MCC
 55, 4.66, 0,12, 2,MCC
 55, 4.96, 0,13, 3,MCC
 55, 3.53, 1,16, 2,MCC
 55, 5.38, 1,17, 2,MCC
 55, 4.19, 1,18, 2,MCC
 55, 9.20, 1,19, 1,MCC
 55, 6.12, 0,20, 2,MCC
 55, 3.20, 0,21, 0,MCC
 55, 2.17, 0,22, 2,MCC
 55, 4.09, 0,23, 2,MCC
 55, 1.84, 0,24, 2,MCC
 55, 2.97, 0,25, 1,MCC
 55, 2.02, 0,26, 2,MCC
 55, 2.52, 0,27, 1,MCC
 55, 3.19, 0,28, 3,MCC
 55, 3.79, 0,29, 0,MCC
 55, 3.35, 0,30, 2,MCC
 55, 1.84, 0,31, 1,MCC
 55, 6.04, 0,32, 0,MCC
 55, 4.62, 1,33, 0,MCC
 55,10.36, 0,34, 1,MCC
 55,18.05, 0,35, 0,MCC
 55, 4.15, 0,36, 1,MCC
 55, 4.82, 0,37, 0,MCC
 55, 2.83, 0,38, 3,MCC
